text,label
"Твои методы работы устарели, и никто не хочет следовать за тобой.",insult
"Ты постоянно делегируешь задачи другим, вместо того чтобы выполнять их сам.",insult
"Твои отчеты всегда имеют ошибки, и это вызывает недовольство у всех.",insult
Ты не в состоянии принять конструктивную критику и продолжаешь делать всё по-своему.,insult
Твои попытки улучшить процесс только приводят к новым проблемам.,insult
"Ты настолько уродлив, что даже зеркала избегают твоего взгляда.",insult
"Твои попытки выглядеть умным только подтверждают, насколько ты глуп.",insult
"Ты такой же неудачник, как и в детстве, когда все над тобой смеялись.",insult
Как можно быть настолько бесполезным? Твои комплексы мешают тебе даже думать.,insult
"Твоя неуверенность в себе так и прёт, и все это видят.",insult
"Ты всегда был жалким неудачником, и ничего не изменилось.",insult
"Ты настолько обрюзгший, что даже твои старания выглядят жалко.",insult
"Ты так и не смог превзойти свои детские комплексы, и это позорно.",insult
"Ты выглядешь как человек, который даже не смог справиться с самыми простыми задачами.",insult
"Все твои неудачи только подчеркивают, насколько ты недостойный и ничтожный.",insult
"Ты выглядишь как ребёнок, который потерялся в мире взрослых и не может справиться.",insult
Твоя бесконечная неудача делает тебя посмешищем для всех вокруг.,insult
"Ты всегда стремился к успеху, но всё, что ты достиг, — это ещё одно подтверждение твоего поражения.",insult
"Твои попытки выглядеть уверенно только высвечивают, насколько ты на самом деле слаб.",insult
"Ты такой же неудачник, как и в школе, когда никто не хотел с тобой дружить.",insult
"Ты выглядишь так, будто все твои комплексы и страхи обрушились на тебя одновременно.",insult
Твои детские травмы и комплексы делают тебя ещё более жалким в глазах окружающих.,insult
"Ты всегда был неудачником, и это сейчас видно, как никогда.",insult
"Твоя жизнь — это сплошное разочарование, и все твои комплексы только подчеркивают это.",insult
"Ты выглядишь так, будто только что вышел из-под дождя и не вытирался.",insult
"Твоя одежда выглядит так, как будто ты её нашёл на свалке.",insult
Как можно выглядеть настолько плохо? Даже зеркала тебя избегают.,insult
"Ты похож на человека, который не знает, что такое личная гигиена.",insult
"Твоя прическа такая ужасная, что она должна быть наказанием.",insult
"Ты выглядишь так, будто тебя не одевали в течение целого месяца.",insult
Как можно быть таким неопрятным? Даже твоя одежда показывает твои неудачи.,insult
"Твои обувь и одежда настолько грязные, что это вызывает отвращение.",insult
"Ты выглядишь так, как будто только что проснулся и не позаботился о себе.",insult
Твой внешний вид так и кричит о твоей несостоятельности и неудачах.,insult
"Ты выглядишь как человек, который полностью игнорирует свою гигиену.",insult
"Твоя фигура такая нелепая, что даже фотоаппараты отказываются тебя снимать.",insult
Ты выглядишь как карикатура на нормального человека.,insult
"Твоя одежда такая устаревшая, что её можно увидеть только в старых фильмах.",insult
"Ты выглядишь как человек, который не смог бы найти стиль даже в модном магазине.",insult
"Твоя кожа настолько плоха, что выглядит как обложка старого медицинского справочника.",insult
"Ты выглядишь так, как будто тебя случайно выбросили из модного журнала.",insult
"Твоя фигура напоминает о том, как плохо ты заботишься о себе.",insult
"Ты выглядишь как человек, который потерял всякое представление о том, как выглядеть нормально.",insult
"Ты выглядишь как мусор, который кто-то выкинул на улицу.",insult
"Твоя одежда настолько грязная и рваная, что её стыдно даже выбросить.",insult
Как можно выглядеть настолько отвратительно? Даже свалки выглядят лучше.,insult
"Ты похож на человека, который не мылся и не одевался несколько лет.",insult
"Твоя прическа выглядит так, будто ты её сам сделал, используя только руки.",insult
"Ты выглядишь как бомж, который пришёл сюда искать еду.",insult
"Твои грязные, порванные штаны и дыра в рубашке — это настоящее позорище.",insult
"Ты выглядишь как человек, который не знает, что такое умывание и чистая одежда.",insult
"Твоя фигура и внешний вид такие жалкие, что даже животные на тебя не смотрят.",insult
"Ты выглядишь так, как будто только что вылез из кучи мусора.",insult
"Ты выглядишь так, будто потерялся и не знаешь, как выглядеть нормально.",insult
Твои грязные руки и лицо — это настоящий позор.,insult
"Ты выглядишь так, будто жил в пещере без какого-либо контакта с цивилизацией.",insult
"Твоя одежда настолько ужасна, что даже в ночном клубе тебя бы не пустили.",insult
"Ты выглядишь как человек, который не менял одежду с тех пор, как был на последней свалке.",insult
"Твоя кожа выглядит так, будто тебя покусали все возможные насекомые.",insult
"Ты выглядишь так, будто из тебя выдавили все признаки человеческого достоинства.",insult
"Твоя внешность вызывает отвращение и дискомфорт у всех, кто на тебя смотрит.",insult
"Ты выглядишь как образец того, как можно выглядеть хуже всех.",insult
"Ты такой же нерешительный, что кажется, будто ты боишься даже своей тени.",insult
"Твоя уверенность в себе выглядит как маска, за которой скрывается полное недоразумение.",insult
"Ты настолько слабовольный, что даже самые простые решения кажутся для тебя неразрешимой задачей.",insult
"Твоя самоуверенность вызывает только смех, потому что все видят, насколько ты на самом деле беспомощен.",insult
"Ты настолько некомпетентен в общении, что твои попытки выглядеть уверенным только усугубляют ситуацию.",insult
"Твоя личная жизнь полна мелочных проблем, и это делает тебя ещё более жалким в глазах окружающих.",insult
Твоя неспособность принимать конструктивную критику делает тебя ещё более отвратительным.,insult
"Ты всегда вешаешь на других ответственность за свои неудачи, вместо того чтобы признать свои ошибки.",insult
Твоя лень и неспособность принимать решения делают тебя абсолютно бесполезным.,insult
"Ты выглядешь как человек, который постоянно ищет оправдания своим провалам.",insult
Твоя ненадёжность и неумение выполнять обещания делают тебя настоящим посмешищем.,insult
"Ты настолько неадекватен в социальных ситуациях, что даже простое общение с тобой становится мучением.",insult
"Твоя неспособность держать слово вызывает только презрение у всех, кто с тобой сталкивается.",insult
"Ты такой же неорганизованный, что даже твои собственные мысли кажутся хаосом.",insult
Твоя нерешительность и медлительность только подчеркивают твою полную неспособность к чему-либо.,insult
Твоя неумение справляться с эмоциями делает тебя ещё более раздражающим и непригодным для общения.,insult
"Ты выглядишь так, будто каждый раз, когда ты что-то пытаешься, всё оборачивается полной катастрофой.",insult
"Твои попытки казаться взрослым и уверенным только подчеркивают, насколько ты на самом деле инфантилен.",insult
"Ты такой же жалкий и беспомощный, что твои действия и слова не вызывают ничего, кроме презрения.",insult
"Твои попытки быть умным — это просто цирк, потому что каждый видит, что ты на самом деле полный дурак.",insult
"Ты настолько непривлекательный, что даже зеркала боятся показывать твое отражение.",insult
"Твоя работа — это сплошное разочарование, и все вокруг видят, как ты каждый раз только усугубляешь ситуацию.",insult
"Ты выглядишь как тряпка, которая даже не может справиться с самой простой задачей.",insult
"Твои навыки общения настолько ужасны, что любой разговор с тобой — это пытка.",insult
"Ты такой же бесполезный, что даже твоя собака не хочет на тебя смотреть.",insult
"Твои попытки выглядеть уверенным — это просто фарс, потому что все знают, как ты на самом деле трясёшься от страха.",insult
"Ты такой же неудачник, что даже твои собственные друзья избегают общения с тобой.",insult
"Твоя жизнь — это сплошной провал, и все твои усилия выглядят как жалкое шоу.",insult
"Твои действия выглядят так, будто ты никогда не мог научиться чему-то полезному.",insult
"Ты всегда ищешь оправдания своим провалам, и это делает тебя ещё более жалким.",insult
Твоя неорганизованность и неряшливость делают тебя просто отвратительным в глазах окружающих.,insult
"Ты выглядишь как неудачник, который даже не умеет правильно одеваться.",insult
"Твои попытки выглядеть взрослым и серьёзным только подчёркивают, насколько ты на самом деле инфантилен.",insult
"Ты такой же бесполезный, что даже в самых простых ситуациях только усугубляешь положение.",insult
Твоя неспособность контролировать свои эмоции и решения делает тебя настоящим позором для всех.,insult
"Ты выглядишь как человек, который никогда не смог справиться с собственными комплексами и страхами.",insult
"Твои действия и слова показывают, насколько ты на самом деле ничтожен и беспомощен.",insult
"Ты настолько раздражаешь окружающих, что даже твои собственные ошибки кажутся всем смешными и нелепыми.",insult
"Ты такой же бедный, что даже твои посты выглядят как отчаянные крики о помощи.",insult
Твоя жизнь — полный трэш. Как вообще можно быть таким неудачником?,insult
"Серьезно, ты настолько на дне, что даже мемы про нищету выглядят как шикарный отпуск по сравнению с тобой.",insult
"Ты на дне и это не метафора. Серьезно, кто тебе дал доступ к соцсетям?",insult
"Твои финансовые проблемы — это просто уровень, на который ты попал случайно и даже не понимаешь, как выбраться.",insult
"Ты выглядишь как полный лузер, у которого жизнь — это просто один сплошной провал.",insult
"С твоим финансовым состоянием тебе лучше не показываться в интернете, чтобы не позориться еще больше.",insult
"Твоя жизнь — это трэш, который даже самый унылый сериал не мог бы придумать.",insult
"Ты настолько бедный, что даже слова, которые ты пишешь, вызывают только смех.",insult
"Твое положение такое убогое, что даже твои попытки что-то сделать выглядят как просто шутка.",insult
"Ты живешь в полном бардаке, и это видно по каждому твоему посту.",insult
"Твои деньги заканчиваются быстрее, чем я могу прочитать твои жалобы на жизнь.",insult
"Ты такой же неудачник, что даже твои лучшие моменты выглядят как сплошной фейл.",insult
"Ты на дне и, похоже, собираешься там остаться. Может, стоит попробовать что-то другое?",insult
"Твоя жизнь — это вечный провал. Кажется, ты только и делаешь, что пытаешься оправдать свои неудачи.",insult
"Ты выглядишь так, будто твои финансовые проблемы стали твоим основным хобби.",insult
"Твои бедствия такие мелкие, что их даже не стоит обсуждать. Все это давно уже стало мемом.",insult
"Твоя жизнь — это просто сумасшедший дом, который лучше всего держать под замком.",insult
"Ты такой же несчастный, что все твои попытки что-то изменить выглядят как плохие шутки.",insult
Ты жалкий кусок дерьма из низов.,insult
Только говно из трущоб могло бы так говорить.,insult
Ты — ничтожество из самого дна общества.,insult
"Ты, походу, привык только выполнять приказы.",insult
"Ты, как всегда, просто попрошайка от благотворительности.",insult
"Ты явно не способен на большее, чем выслуживание.",insult
Только тупое быдло могло бы быть таким идиотом.,insult
"Ты не стоишь даже того, чтобы это понимать.",insult
Ты вообще не привык к нормальному уровню.,insult
"Ясно, что ты не из нашего круга, черт возьми.",insult
"Ты нищеброд, который еле сводит концы с концами.",insult
"Очевидно, что твой уровень жизни — полное дно.",insult
Твоя зарплата даже не дотягивает до моего кофе.,insult
"Ты живешь в крошечной дыре, и это все, что ты можешь себе позволить.",insult
Твой социальный статус — полное ничто.,insult
"Сравниваясь с нами, ты просто никуда не годен.",insult
"Очевидно, что твоя финансовая стабильность — миф.",insult
"Ты, наверное, не знаешь, что такое нормальная жизнь.",insult
Твои деньги не стоят даже моего ужина.,insult
"Ты, наверное, и не представляешь, что значит жить в комфорте.",insult
"Ты, блин, живешь в нищете, как в 19 веке.",insult
Твои финансовые возможности — это полный провал.,insult
"Очевидно, что ты едва можешь себе позволить еду.",insult
"Ты настолько беден, что даже не знаешь, что такое финансовая независимость.",insult
Твое социальное положение — это просто позор.,insult
"Ты просто сидишь на дне, и не можешь вылезти.",insult
"Твои деньги — это копейки, и ты это знаешь.",insult
"Ты живешь в убогом районе, где даже свет не всегда есть.",insult
Твой уровень жизни — это полный мрак и дерьмо.,insult
"Твои доходы едва покрывают твои базовые нужды, не больше.",insult
"Ты полный идиот, раз не можешь сообразить такую простую вещь.",insult
Твои умственные способности — это просто позор.,insult
"Очевидно, что у тебя уровень IQ лопаты.",insult
"Твои знания ограничиваются тем, что ты читал в комиксах.",insult
Ты не достоин даже базового образования.,insult
Ты как будто только что выполз из пещеры.,insult
Твои мозги на уровне картошки.,insult
Твои умственные способности далеки от нормальных.,insult
"Ты слишком туп, чтобы понять что-то сложное.",insult
Твои знания не выходят за пределы школьной программы.,insult
"Ты тупой как пробка, если не можешь понять такое простое дерьмо.",insult
Твои умственные способности — полный провал.,insult
"Очевидно, что твой IQ даже не дотягивает до уровня животного.",insult
"Твои знания — это убожество, и ты это знаешь.",insult
"Ты явно недоразвиты, раз такие банальные вещи не понимаешь.",insult
"Ты как кусок дерьма, который даже не знает, как соображать.",insult
Твои мозги — это просто помойка.,insult
"Ты настолько туп, что даже не понимаешь, насколько ты тупой.",insult
"Твои знания ничтожны, и это видно сразу.",insult
"Ты безмозглый идиот, который не может даже элементарные вещи осознать.",insult
"Твои личные отношения — полное дерьмо, как и твоя жизнь.",insult
"Очевидно, что у тебя сплошные проблемы с разводами и семьей.",insult
"Ты как раз тот человек, который постоянно разводится, потому что никто не может тебя выносить.",insult
Твои семейные проблемы — это сплошное разочарование.,insult
"Ты, блин, как магнит для семейных проблем.",insult
"Твои личные отношения разваливаются, как карточный домик.",insult
"Твои разводы и драмы — это комедия, за которую стыдно.",insult
"Ты просто неудачник в личной жизни, и это видно по твоим разводам.",insult
Твои проблемы с семьей — это просто позор для всех.,insult
"Твои семейные неурядицы — это то, что в нормальной жизни даже обсуждать стыдно.",insult
"Твои личные отношения — это полный трэш, ты как кусок говна в этом плане.",insult
"Очевидно, что твои разводы и семейные проблемы — это сплошной позор.",insult
"Ты как магнит для говняных разводов, ни один человек тебя не выдержит.",insult
"Твоя семейная жизнь — это просто помойка, и ты это знаешь.",insult
"Ты ходячая катастрофа в личных отношениях, никто не захочет с тобой связываться.",insult
"Твои разводы — это цирк, и все вокруг смеются над тобой.",insult
"Ты полный лузер в личной жизни, просто позор для нормальных людей.",insult
"Твои семейные проблемы — это просто срам, который все обсуждают за спиной.",insult
"Ты как вечный неудачник в семейных делах, и это видно всем.",insult
Твои проблемы с отношениями и разводы — это отвратительное зрелище.,insult
"Твои личные отношения — полное дно, ты как вечный лузер.",insult
"Очевидно, что твои разводы — это абсолютный трэш, полный провал.",insult
"Ты как магнит для говняных разводов, тебе никто не по зубам.",insult
"Твоя семейка — это цирк, полный позор.",insult
"Ты реально неудачник в личной жизни, все видят, что ты тупо кринжовый.",insult
"Твои разводы — это чистейший фейл, и все над этим ржут.",insult
"Ты полный аутсайдер в личных делах, как будто все у тебя по дефолту говно.",insult
"Твои семейные заморочки — это просто трэш, который даже обсуждать стыдно.",insult
"Ты реально проигрываешь в личной жизни, все вокруг видят, что ты полный лох.",insult
"Твои проблемы с отношениями — это жесть, ты как трешовый мем.",insult
"Твои политические убеждения — это полный бред, просто позор.",politics
"Очевидно, что твои религиозные практики — это тупое старье.",politics
"Ты как фанатик в своих политических взглядах, полный отстой.",politics
"Твоя религия — это просто смешной цирк, все над тобой ржут.",politics
"Твои политические воззрения — это абсолютный трэш, никому не нужный.",politics
"Ты реально застрял в своих религиозных догмах, как старомодный динозавр.",politics
"Твои политические идеи — это полный фейл, как будто из другой эпохи.",politics
"Твоя вера — это как какой-то религиозный анекдот, все вокруг хихикают.",politics
"Ты, похоже, живешь в своей политической хрени, и это полный абсурд.",politics
"Твои религиозные привычки — это как старый мем, который все уже забыли.",politics
"Твои политические убеждения как у какого-то диктатора, полный бред и античеловечество.",politics
"Ты как фанат религиозных сект, вроде Саентологии, просто полный псих.",politics
"Твои взгляды на политику как у нацистов — отстойный фашизм, который должен быть в прошлом.",politics
"Ты веришь в какую-то околонаучную чушь, типа лжеучений, которые только для дураков.",politics
"Твоя поддержка коммунизма — это полный позор, ты как реликт сталинской эпохи.",politics
"Ты, как защитник гомофобных религиозных сект, просто клоун и источник позора.",politics
"Твои взгляды на политику, как у крайних правых групп, это полный мрак и тупость.",politics
"Ты веришь в религиозные догмы, как у проповедников, которые лишь издеваются над разумом.",politics
"Ты, как сторонник конспирологических теорий, которые уже все забыли и смеются над ними.",politics
Твои политические взгляды на ультранационализм — это настоящая угроза обществу и полный мрак.,politics
Ты как сторонник Трампа — полный идиот и говно.,politics
"Твои религиозные убеждения, как у свидетелей Иеговы — просто смешные и жалкие.",politics
Ты поддерживаешь экстремистов вроде аль-Каиды — это позор и угроза для всех.,politics
"Ты, как защитник праворадикальных группировок, типа Proud Boys — просто абсурд.",politics
Твои взгляды как у фанатиков крестовых походов — полный религиозный мрак.,politics
"Ты веришь в антиваксеров, это просто эпицентр глупости и невежественности.",politics
Твои политические идеи как у Северной Кореи — это диктаторский позор.,politics
"Ты, как приверженец фальшивого мессианства, просто клоун и дурак.",politics
"Твои взгляды на политику, как у нацизма — полный позор и исторический ужас.",politics
Ты веришь в какие-то псевдонаучные религиозные учения — это просто комедия для умалишенных.,politics
"Ты как сторонник радикального ислама, который насаждает насилие — настоящий позор.",politics
"Твои политические предпочтения, как у антисемитских движений — это говно и позор.",politics
"Ты поддерживаешь идеологии, как у американских милитаристов — полный мрак и тупость.",politics
"Ты, как поклонник фанатичных религиозных монахов — просто смешной и позорный.",politics
"Твои религиозные убеждения как у атеистов, которые не могут уважать чужие верования — это просто абсурд.",politics
"Ты, как защитник евразийской идеи — это полный провал и историческая ошибка.",politics
"Ты, как сторонник феминистического радикализма — просто идиот и абсурд.",politics
"Твои политические взгляды как у марксистов, которые привели к тоталитаризму — полный трэш.",politics
"Ты веришь в теории заговора, как у неомальтусистов — это просто жесть.",politics
"Ты, как фанат белых националистов, например, Ku Klux Klan — полное дерьмо.",politics
Твои религиозные убеждения как у мормонов — просто мрак и позор.,politics
Ты поддерживаешь фашистов вроде Бенито Муссолини — просто позор и ужас.,politics
"Ты, как сторонник идеологии геноцида, как у нацистов — это отвратительно.",politics
"Твои взгляды на политику как у антиглобалистов, которые мешают прогрессу — полный мрак.",politics
"Ты как защитник консервативных религиозных фанатиков, вроде радикальных евангелистов — просто абсурд.",politics
"Твои религиозные идеи как у экстремистских сект, типа Растафарианцев — это просто смешно.",politics
"Ты поддерживаешь криминальные режимы, типа Ким Чен Ына — настоящий позор и кошмар.",politics
"Ты, как поклонник шовинистических идей, как у ИДИЛ — это полный ад.",politics
"Твои политические предпочтения как у ультраправых групп, вроде альтернативной правой — просто ужас.",politics
"Ты, как приверженец идей радикальных социалистов — полный позор и абсурд.",politics
Ты веришь в религиозные спекуляции типа теорий о НЛО — это просто смешной бред.,politics
"Твои взгляды как у антифеминистов, которые не уважают права женщин — полный мрак.",politics
"Ты поддерживаешь идеи тоталитарного коммунизма, как у Сталина — это историческая ошибка.",politics
"Ты, как приверженец шизофренических религиозных движений типа сектантов — просто смешной.",politics
"Твои политические взгляды как у представителей репрессивных режимов, типа Саддама Хусейна — полный трэш.",politics
"Ты веришь в религиозные пророчества, как у современных мессий, — это просто комедия для умалишенных.",politics
"Ты, как поклонник экстремистского радикального ислама — это полный позор и угроза.",politics
"Твои идеологии как у антиглобалистов, которые отвергают развитие — это просто позор.",politics
"Ты поддерживаешь идеи ультрадесного популизма, как у олигархов — полный абсурд.",politics
"Ты, как сторонник авторитарных мер, как в России, — полный позор и антидемократ.",politics
"Ты поддерживаешь политику цензуры, как у китайских властей — просто дерьмо.",politics
"Твои взгляды как у сторонников антикоронавирусных мер, игнорирующих здравый смысл — это полный мрак.",politics
"Ты, как защитник действий по запрету фейковых новостей, — просто смешной и ограниченный.",politics
"Ты поддерживаешь репрессивные законы, как в Венгрии, — это полный позор и антилиберальный треш.",politics
"Твои политические предпочтения как у сторонников неолиберальных реформ, которые разрушают общество — полный абсурд.",politics
"Ты, как приверженец политики миграционных ограничений, типа американской стенки — просто жалкий.",politics
"Ты поддерживаешь действия, как в Австралии, по ограничению свободы слова — это просто дерьмо.",politics
"Твои взгляды как у защитников антидемократических законов, как в Турции — полный позор.",politics
"Ты, как сторонник деспотических реформ в Беларуси, — это просто позор для человечества.",politics
"Ты поддерживаешь политику массовых арестов и подавления, как в Мьянме — это настоящий ад.",politics
"Ты, как сторонник манипуляций с выборами, как в США, — полный позор и грязь.",politics
"Твои взгляды, как у сторонников дискриминации, как в Саудовской Аравии — полный абсурд.",politics
"Ты поддерживаешь политические репрессии, как в Иране — это просто кошмар.",politics
"Ты, как защитник политики насилия и подавления протестов, как в Бразилии — полный треш.",politics
"Твои политические идеи, как у сторонников жесткого контроля и слежки — это полный мрак.",politics
"Ты поддерживаешь правительственные меры, которые подрывают права человека, как в Белоруссии — просто ужас.",politics
"Ты, как приверженец фашистских взглядов, которые вновь начинают проявляться в мире — полный позор.",politics
"Твои взгляды как у сторонников неравенства, которые поддерживают нынешние экономические кризисы — это просто абсурд.",politics
"Ты поддерживаешь политические репрессии и антидемократические меры, которые разрушают общество — полный позор.",politics
"Ты, как защитник запрета TikTok, — просто дерьмовый диктатор.",politics
"Твои взгляды, как у сторонников массовых арестов протестующих в Иране — полный мрак.",politics
"Ты поддерживаешь действия, как в Беларуси, по подавлению оппозиции — это просто отвратительно.",politics
"Ты, как приверженец ужесточения миграционной политики в США — просто жалкий расист.",politics
"Твои политические предпочтения, как у тех, кто поддерживает усиление контроля в Китае — полный трэш.",politics
Ты поддерживаешь ограничение свободы слова в России — это полный абсурд и позор.,politics
"Ты, как защитник авторитарных мер в Венгрии — просто позор для демократии.",politics
Твои взгляды как у сторонников военной агрессии в Израиле — это полный ужас и моральное дно.,politics
Ты поддерживаешь политику жестоких репрессий в Мьянме — это настоящий ад.,politics
"Ты, как сторонник антидемократических реформ в Турции — полный треш и позор.",politics
"Твои идеи, как у тех, кто поддерживает сокращение социальных программ в Европе — полный абсурд.",politics
Ты поддерживаешь дискриминацию женщин в Саудовской Аравии — это просто позор и дичь.,politics
"Ты, как защитник жестких мер против климатических активистов — просто глупый и жестокий.",politics
"Твои политические предпочтения как у тех, кто поддерживает антинаучные меры по COVID-19 — полный фейл.",politics
"Ты поддерживаешь политику, как в Бразилии, по уничтожению лесов — это просто позор для человечества.",politics
"Ты, как приверженец авторитаризма в Венесуэле — это просто отвратительно и позорно.",politics
"Твои взгляды на политику, как у сторонников усиления социальной нерегулированности — полный ужас.",politics
"Ты поддерживаешь антидемократические меры, как в Турции, которые нарушают права человека — полный трэш.",politics
"Ты, черный, бесполезен здесь.",xenos
"Неужели ты, хохол, снова не можешь справиться с задачей?",xenos
"Как же ты надоел, чурка, своей беспомощностью!",xenos
"Да сколько можно, казах, ты всегда только усложняешь всё.",xenos
"Ты, таджик, просто не годишься ни для чего.",xenos
"Ты, узбек, только добавляешь проблем, а не решаешь их.",xenos
"Гастарбайтер, ты, наверное, не понимаешь, что делаешь.",xenos
"Ты, киргиз, просто мешаешь, вместо того чтобы помочь.",xenos
"Какой же ты бесполезный, бурят, как всегда.",xenos
"Ты, кавказец, вообще не понимаешь, о чём речь.",xenos
"Ты, черножопый, ничего не стоишь.",xenos
"Как ты, хохол, можешь не справляться с задачей?",xenos
"Ты, чурка, не можешь ничего сделать правильно.",xenos
"Ты, казах, совсем не годишься для работы.",xenos
"Таджик, твоя бесполезность уже достала.",xenos
"Ты, узбек, просто мешаешь, а не помогаешь.",xenos
"Гастарбайтер, ты только создаешь проблемы.",xenos
"Ты, киргиз, как всегда, не можешь ничего сделать.",xenos
"Ты, бурят, не способен на что-то полезное.",xenos
"Ты, кавказец, абсолютно не умеешь решать проблемы.",xenos
"Вы, русские, все такие тупые и ничего не понимаете.",xenos
"Русские, как всегда, не можете ничего сделать нормально.",xenos
"Что вы, русские, хотите от жизни? Даже простую задачу не можете решить.",xenos
"Русские, вам всегда всё мешает, потому что вы сами ничего не можете.",xenos
"Какие вы, русские, глупые, даже элементарные вещи не можете понять.",xenos
"Вы, русские, только и делаете, что портите всё вокруг.",xenos
"Русские, вы всегда только усложняете, потому что сами ничего не понимаете.",xenos
"Вы, русские, не способны на что-то путное, кроме как ссориться.",xenos
"Что вы, русские, можете предложить? Только свои проблемы.",xenos
"Русские, вы постоянно все порите, и даже простое задание вам не по силам.",xenos
"Ты, псих, постоянно ведешь себя как сумасшедший.",insult
"Как ты, эмоционально нестабильный, можешь что-то контролировать?",insult
"Ты, ментально неустойчивый, ничего не понимаешь и все портишь.",insult
"С тобой невозможно работать, потому что ты психически неадекватен.",insult
"Ты, с расстройством, всегда ведешь себя непредсказуемо.",insult
"Как можно доверять такому, кто всегда в эмоциональном кризисе?",insult
"Ты, ненормальный, не способен нормально выполнять свои обязанности.",insult
"Психопат, твоя нестабильность мешает всем вокруг.",insult
"Ты, со своими расстройствами, только создаешь проблемы.",insult
Как можно полагаться на человека с таким эмоциональным колебанием?,insult
Твои психические проблемы - это просто выдумка.,insult
"Ты, эмоционально нестабильный, просто привлекаешь внимание.",insult
Твои расстройства - это просто оправдание твоей неэффективности.,insult
"Не стоит принимать всерьез твою эмоциональную нестабильность, это лишь слабость.",insult
Твои проблемы - это просто способ избегать ответственности.,insult
Ты просто преувеличиваешь свои ментальные расстройства.,insult
"Эмоциональные проблемы, которые ты изображаешь, не заслуживают внимания.",insult
"Твои психические трудности - это просто способ, чтобы никто не требовал от тебя работы.",insult
Твои расстройства - это просто пустое оправдание твоей лени.,insult
"Ты просто используешь свои проблемы как повод для того, чтобы не выполнять свои обязанности.",insult
"Твои манеры ужасны, и никто не хочет с тобой общаться.",insult
"Ты ведешь себя как неотесанный грубиян, и это отвратительно.",insult
Твои привычки просто отвратительны и делают тебя несносным.,insult
"Образ жизни, который ты ведешь, полный бред и никому не интересен.",insult
"Ты постоянно ведешь себя так, как будто никто тебя не учил правилам поведения.",insult
"Твои манеры оставляют желать лучшего, и это вызывает отвращение.",insult
"Ты живешь так, как будто никогда не сталкивался с нормальной социальной средой.",insult
Твои привычки и образ жизни абсолютно неуместны и делают тебя неприятным.,insult
"Ты просто не знаешь, как вести себя прилично, и это заметно.",insult
"Твое поведение и образ жизни такие примитивные, что никто не хочет с тобой взаимодействовать.",insult
"Твои манеры такие отвратительные, что никто не хочет с тобой общаться.",insult
"Как ты можешь продолжать есть так много, когда все вокруг уже устали от твоего постоянного обжорства?",insult
"Ты всегда забываешь о гигиене, и это делает тебя противным.",insult
"Неприлично, что ты всегда опаздываешь и не можешь уважать время других.",insult
Твои неумелые манеры за столом просто отвратительны.,insult
Как можно так не заботиться о внешнем виде и вести себя как неопрятный человек?,insult
"Ты постоянно хвастаешься своим богатством, и это вызывает только отвращение.",insult
Как можно так плохо обращаться с деньгами и постоянно выглядеть бедно?,insult
Твоя привычка говорить громко и навязчиво раздражает всех вокруг.,insult
"Ты ведешь себя так, как будто никто не учил тебя уважению к другим.",insult
Ты с таким уровнем образования даже не можешь справиться с простой задачей.,insult
"Как можно быть таким невежественным, если у тебя нет никаких академических достижений?",insult
Твой низкий уровень образования просто поражает и делает тебя бесполезным.,insult
"Ты, наверное, никогда не закончил школу, раз так плохо разбираешься в этом.",insult
